t, r_OP_x, r_OP_y, r_OP_z, ex_B_x, ex_B_y, ex_B_z, ey_B_x, ey_B_y, ey_B_z, ez_B_x, ez_B_y, ez_B_z, v_P_x, v_P_y, v_P_z, B_Omega_x, B_Omega_y, B_Omega_z
2.999999999999999889e-01, 2.104659999999999864e-02, -7.235798364347541256e-02, -1.807382864349987572e-01, 1.000000000000000000e+00, -9.097245619609983249e-24, -1.771856056845216909e-23, -3.953071036661629021e-25, -8.984870111289982031e-01, 4.390001034538371649e-01, -1.991358829481045631e-23, -4.390001034538371649e-01, -8.984870111289982031e-01, -2.399777801761703651e-21, -1.061790061487006165e+00, 3.889879331092905845e-01, -4.412166720698891709e+00, 1.749504044078701492e-23, 1.929314993845671139e-22
3.099999999999999978e-01, 2.104659999999999864e-02, -8.269516880256803926e-02, -1.766279935341563134e-01, 1.000000000000000000e+00, -6.252473780654075985e-23, -3.055335929975271252e-23, -4.042235879389371885e-23, -8.792659783546441510e-01, 4.763311235979131864e-01, -5.664700796877252088e-23, -4.763311235979131864e-01, -8.792659783546441510e-01, -1.210407864019168626e-21, -1.004335967117622630e+00, 4.320765354552859039e-01, -3.999831670203748413e+00, 1.796149635485398719e-22, 8.796856850382740341e-22
3.200000000000000067e-01, 2.104659999999999864e-02, -9.242133112836541098e-02, -1.721191242806025812e-01, 1.000000000000000000e+00, 2.608586037058510353e-23, 6.043730639734932638e-24, 1.936312664661233988e-23, -8.603684260221062807e-01, 5.096726120797970827e-01, 1.849508361123529427e-23, -5.096726120797970827e-01, -8.603684260221062807e-01, -3.221095326083587828e-22, -9.399056875477372897e-01, 4.682113834211487635e-01, -3.683180499280580111e+00, -1.021153383580515753e-22, -2.348513891654959591e-22
3.300000000000000155e-01, 2.104659999999999864e-02, -1.014757558658155312e-01, -1.672935850364476174e-01, 1.000000000000000000e+00, 1.628593617893276303e-23, 2.995154694040884309e-24, 1.208940903471119400e-23, -8.416406692833182657e-01, 5.400379466373900206e-01, 1.131586753443807118e-23, -5.400379466373900206e-01, -8.416406692833182657e-01, -2.447060524752225334e-21, -8.702497185964513937e-01, 4.955108029077210374e-01, -3.467822284962424728e+00, -2.283877983409811719e-22, 1.302538855688589245e-22
3.400000000000000244e-01, 2.104659999999999864e-02, -1.098167402343143001e-01, -1.622445061673308542e-01, 1.000000000000000000e+00, 2.090612222351996613e-23, 2.829550558510161106e-24, 1.559348329592403990e-23, -8.228018923867004286e-01, 5.683282905899236237e-01, 1.420970026030312272e-23, -5.683282905899236237e-01, -8.228018923867004286e-01, -3.315955253211799145e-21, -7.975711876890407837e-01, 5.123635612245109883e-01, -3.346550795505585985e+00, -2.799321794278576069e-22, 1.266413169549552272e-23
3.500000000000000333e-01, 2.104659999999999864e-02, -1.174237221326071279e-01, -1.570839157969134148e-01, 1.000000000000000000e+00, -5.081306358155462073e-24, -1.580467205814762665e-24, -3.141802965264684197e-24, -8.034768446406110876e-01, 5.953360060725099157e-01, -4.294953436481132353e-24, -5.953360060725099157e-01, -8.034768446406110876e-01, 4.605472641216205668e-22, -7.238559285617032213e-01, 5.178371369878667085e-01, -3.306463092127209791e+00, 7.637970380213665536e-23, 1.162961676975272237e-23
3.599999999999999867e-01, 2.104659999999999864e-02, -1.242965669691769304e-01, -1.519253483807059268e-01, 1.000000000000000000e+00, 5.835172976527758722e-25, -1.061722104407345418e-24, 1.117058662098724577e-24, -7.833311287323705407e-01, 6.216046514939140843e-01, -4.689629079973892222e-25, -6.216046514939140843e-01, -7.833311287323705407e-01, 3.868664347221673545e-23, -6.508332277843669189e-01, 5.118999609814481877e-01, -3.326909892788787015e+00, 4.007889803064617586e-23, 2.627523224780962052e-23
3.699999999999999956e-01, 2.104659999999999864e-02, -1.304474952231795826e-01, -1.468823133373951539e-01, 1.000000000000000000e+00, -1.338881093187811276e-24, 7.395621717515170913e-24, -5.809182275117059994e-24, -7.620379967537762589e-01, 6.475323092352162080e-01, 4.768775992300708186e-24, -6.475323092352162080e-01, -7.620379967537762589e-01, 8.928030514879158963e-22, -5.797503205141787408e-01, 4.952905584474348588e-01, -3.385368372926786940e+00, 2.000410668056401351e-24, -2.911599465249309047e-23
3.800000000000000044e-01, 2.104659999999999864e-02, -1.358982445002029360e-01, -1.420509488340481463e-01, 1.000000000000000000e+00, -8.215232535310445302e-24, 2.613948666280857929e-24, -7.834324890578857892e-24, -7.394183660063464725e-01, 6.732462253978884759e-01, -3.598072643517821926e-24, -6.732462253978884759e-01, -7.394183660063464725e-01, 1.219952633541511676e-21, -5.110044688647945588e-01, 4.694371590315913334e-01, -3.462004695737565196e+00, 1.227293483566353436e-22, -8.652473182666021083e-23
3.900000000000000133e-01, 2.104659999999999864e-02, -1.406747635670121399e-01, -1.375180460202318211e-01, 1.000000000000000000e+00, -1.263262326570359171e-23, -1.038767403168387974e-24, -8.311659276156501678e-24, -7.154060672501025842e-01, 6.987089229011905767e-01, -9.569667098084574229e-24, -6.987089229011905767e-01, -7.154060672501025842e-01, 3.542350264017199736e-21, -4.445842905887990582e-01, 4.358761553233412300e-01, -3.540303423600013488e+00, 3.402500539594978545e-23, -5.656898541977157608e-22
