frame, lambda, x, y
2.760000000000000000e+02,1.337826188442118869e-01,3.824657693198092012e+00,5.230929252779446870e+00
2.770000000000000000e+02,1.341783715206788796e-01,3.839181268703611316e+00,5.249315197408563449e+00
2.780000000000000000e+02,1.345736048895300463e-01,3.853708465068479860e+00,5.267697796435882651e+00
2.790000000000000000e+02,1.349683200478316303e-01,3.868239271390522482e+00,5.286077057647261768e+00
2.800000000000000000e+02,1.353625180898354319e-01,3.882773676791829498e+00,5.304452988822191628e+00
2.810000000000000000e+02,1.357562001070127811e-01,3.897311670417932028e+00,5.322825597734961889e+00
2.820000000000000000e+02,1.361493671880319722e-01,3.911853241438999262e+00,5.341194892152813622e+00
2.830000000000000000e+02,1.365420204187927367e-01,3.926398379048616771e+00,5.359560879837559355e+00
2.840000000000000000e+02,1.369341608824194145e-01,3.940947072464367817e+00,5.377923568544673572e+00
2.850000000000000000e+02,1.373257896592686433e-01,3.955499310927676593e+00,5.396282966023363770e+00
2.860000000000000000e+02,1.377169078269525060e-01,3.970055083703489807e+00,5.414639080017010997e+00
2.870000000000000000e+02,1.381075164603207395e-01,3.984614380080526708e+00,5.432991918262516151e+00
2.880000000000000000e+02,1.384976166314915158e-01,3.999177189371123653e+00,5.451341488490683673e+00
2.890000000000000000e+02,1.388872094098483889e-01,4.013743500911057360e+00,5.469687798426107861e+00
